trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
185,False,"{'a': 0.5, 'e': 0.8499004402698312}",20,12,-3.8812145509601894,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.8483157881913523}",20,1,-116.05163934360738,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.8467235012765059}",25,8,-66.68179017284935,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
188,False,"{'a': 0.5, 'e': 0.8451235938558632}",20,10,1.2277037570851885,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.8435160803285805}",20,9,-38.523609990976496,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.8419009751622685}",25,7,-59.501367600308676,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
191,False,"{'a': 0.5, 'e': 0.8402782928928629}",20,3,-22.129189150952353,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.8386480481244931}",30,20,-5.911680388399341,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.8370102555293512}",25,13,-33.33299156089992,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.8353649298475592}",30,13,-47.767708478821625,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.8337120858870374}",30,11,-22.759183276182327,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.83205173852337}",30,23,13.542863914969352,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.8303839026996723}",20,3,-70.11910672717538,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
198,False,"{'a': 0.5, 'e': 0.8287085934264555}",20,3,-125.33438667909216,"{0: 6, 1: 7, 2: 2, 3: 0, 4: 2}",1
199,False,"{'a': 0.5, 'e': 0.8270258257814916}",25,5,-39.43921056856731,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
